loan_amnt,term_months,int_rate,installment,annual_inc,dti,fico_score,open_acc,revol_util,home_ownership,purpose,emp_length_years
10204,60,7.62,808.46,104239,0.99,719,10,53.49,OWN,home_improvement,0
2609,36,12.55,686.34,175260,14.65,718,2,67.5,RENT,debt_consolidation,15
30052,36,26.45,292.16,86556,25.6,641,18,67.14,RENT,small_business,5
11147,60,9.62,492.69,60194,18.11,728,15,34.59,OWN,small_business,17
7102,60,25.01,994.53,126615,21.53,816,10,104.43,MORTGAGE,home_improvement,7
2342,36,26.08,878.09,195839,27.76,647,1,67.14,MORTGAGE,home_improvement,10
17374,36,26.05,515.51,157006,2.34,745,7,55.94,OWN,home_improvement,1
3787,60,25.54,375.54,157293,34.96,819,17,29.36,RENT,home_improvement,12
14261,60,17.97,331.93,125812,17.81,633,2,91.61,MORTGAGE,car,9
5633,60,22.78,845.89,52544,11.47,663,10,112.89,RENT,credit_card,0
17194,36,19.52,697.89,103481,26.21,642,19,50.34,OWN,small_business,5
5616,60,10.59,1188.6,71862,18.77,797,12,87.04,RENT,home_improvement,1
16592,36,7.28,883.56,96566,15.32,842,13,62.59,OWN,car,14
11213,36,17.98,225.78,29933,8.29,757,11,83.43,RENT,small_business,1
2016,60,19.68,408.44,169389,28.54,591,7,23.45,OWN,small_business,4
4981,36,25.85,228.03,94655,2.53,698,3,19.55,RENT,small_business,9
12120,60,13.18,615.44,23883,9.25,832,1,8.94,MORTGAGE,small_business,13
6451,36,20.67,913.68,93230,25.4,689,4,56.47,RENT,car,4
11409,60,23.06,89.93,104259,20.75,649,18,62.03,RENT,debt_consolidation,14
13910,60,15.55,482.27,144851,4.3,749,16,87.87,MORTGAGE,credit_card,17
34660,60,18.15,464.67,21872,10.37,732,18,38.02,MORTGAGE,debt_consolidation,18
33174,60,8.95,806.5,92944,28.14,657,19,79.26,OWN,debt_consolidation,14
12460,36,17.74,784.8,55571,3.68,609,5,40.03,RENT,small_business,8
21049,36,22.58,1188.79,157286,27.47,678,13,119.37,OWN,credit_card,17
25820,60,21.02,361.9,64310,12.0,783,2,45.89,OWN,debt_consolidation,4
1126,60,17.49,846.61,70734,17.26,712,15,37.05,OWN,car,4
6618,60,11.43,773.9,33767,23.48,705,14,64.51,OWN,small_business,1
14979,60,11.3,544.76,137456,28.77,630,5,68.97,MORTGAGE,car,17
21426,36,21.53,517.98,186773,4.0,809,13,111.81,RENT,credit_card,12
32290,60,25.93,368.3,134432,7.81,604,7,46.76,RENT,home_improvement,19
3103,36,12.27,250.55,47163,5.15,728,19,62.59,MORTGAGE,small_business,5
23574,60,25.1,656.01,95692,21.01,631,18,71.16,MORTGAGE,small_business,15
21666,60,15.26,700.1,115131,18.83,719,2,24.44,MORTGAGE,small_business,11
18772,36,11.37,80.88,35740,19.37,699,16,0.7,MORTGAGE,debt_consolidation,3
23693,60,12.02,1078.49,144868,26.92,704,17,76.22,OWN,home_improvement,11
4802,60,13.75,499.16,117585,27.44,827,6,34.47,RENT,credit_card,11
4300,36,7.88,145.36,167059,29.26,831,8,62.25,MORTGAGE,car,8
6141,60,12.19,673.94,21076,31.0,683,1,40.65,OWN,debt_consolidation,6
9080,60,17.27,418.24,69365,8.58,820,5,50.03,OWN,home_improvement,12
14025,60,23.48,560.8,147677,29.4,624,18,48.32,RENT,debt_consolidation,16
5300,36,24.46,674.19,90875,31.31,597,18,89.94,MORTGAGE,small_business,16
30378,36,25.04,264.86,45775,33.06,801,8,75.07,OWN,home_improvement,3
28723,60,17.54,326.3,58682,20.24,699,7,55.93,RENT,home_improvement,13
18685,36,21.0,226.07,155126,14.22,800,12,119.17,RENT,debt_consolidation,10
21463,60,23.77,1133.16,98255,6.64,779,18,71.2,MORTGAGE,home_improvement,5
2899,36,22.26,563.45,68960,30.12,648,8,61.23,OWN,car,10
28042,36,24.3,1100.8,48299,3.83,752,10,79.2,OWN,debt_consolidation,7
9567,60,24.38,1084.74,103872,29.0,701,16,40.76,MORTGAGE,debt_consolidation,16
9120,36,25.48,1037.59,42211,11.05,587,18,45.63,OWN,car,19
13874,36,9.89,580.21,64221,23.32,798,8,42.02,MORTGAGE,debt_consolidation,3
10914,60,27.66,1148.28,77487,1.17,597,11,88.57,RENT,car,4
31206,60,23.97,327.87,89915,1.37,718,6,10.15,RENT,car,12
17709,36,23.93,946.6,54572,18.47,790,8,112.58,RENT,home_improvement,8
10359,60,24.55,382.78,174175,2.1,722,19,42.69,RENT,home_improvement,5
13336,60,19.66,962.02,46250,28.94,593,18,90.4,OWN,small_business,3
29621,60,14.86,985.03,111991,20.17,678,3,92.89,RENT,home_improvement,3
5594,36,9.99,1042.22,63654,12.97,835,14,19.77,OWN,car,5
13178,36,13.13,438.82,175673,5.18,644,17,20.18,MORTGAGE,home_improvement,11
2988,60,11.25,424.62,96213,3.86,827,10,31.53,RENT,small_business,7
26068,36,19.94,686.03,191571,30.47,591,14,91.61,RENT,small_business,17
4982,36,22.56,238.63,109012,17.01,670,5,69.85,RENT,home_improvement,0
13015,36,10.64,1150.32,178681,32.79,606,9,76.57,RENT,home_improvement,0
15683,36,23.47,596.17,112469,24.98,605,16,59.74,MORTGAGE,credit_card,19
26933,36,19.77,191.25,89726,27.85,604,13,112.97,OWN,car,6
24897,60,22.68,760.62,149282,25.19,625,9,32.87,RENT,credit_card,13
34629,36,20.37,1106.18,98780,4.48,641,13,59.74,OWN,car,18
3048,36,18.7,1173.02,143309,33.47,677,11,61.18,OWN,home_improvement,14
14598,36,6.19,784.13,174103,7.46,665,1,119.7,RENT,car,14
34397,60,9.33,757.83,64233,34.48,643,13,93.84,MORTGAGE,debt_consolidation,8
34039,36,14.46,1077.56,146077,22.48,645,17,76.9,RENT,car,7
26939,60,11.57,546.45,183122,27.04,751,9,92.18,OWN,credit_card,11
21953,60,6.01,585.48,104351,13.01,612,7,114.21,MORTGAGE,home_improvement,13
30315,60,22.75,469.45,128459,5.66,675,18,80.71,OWN,home_improvement,3
4748,60,13.66,1044.07,64390,21.94,602,16,58.19,OWN,car,17
17766,60,11.27,761.03,118382,18.14,606,13,45.6,OWN,small_business,0
13869,60,6.48,127.28,146378,22.46,796,8,39.64,OWN,small_business,17
32802,60,11.68,959.83,185391,25.86,700,10,15.24,OWN,credit_card,17
18337,60,24.51,210.7,32366,24.01,647,4,26.56,MORTGAGE,small_business,0
3482,36,20.78,846.19,110721,13.72,623,11,27.34,MORTGAGE,small_business,0
12824,60,15.24,787.66,177003,8.58,666,10,106.72,MORTGAGE,debt_consolidation,18
25995,60,5.96,693.3,95045,24.14,732,12,114.48,MORTGAGE,debt_consolidation,3
30371,36,26.09,353.56,52827,27.5,821,9,55.37,OWN,debt_consolidation,14
18304,60,9.2,1022.82,105263,7.72,652,6,46.7,MORTGAGE,debt_consolidation,5
33808,60,21.47,265.09,76045,25.42,633,16,80.54,MORTGAGE,credit_card,16
16254,36,26.95,756.09,160723,25.21,844,8,76.48,OWN,credit_card,12
15899,60,5.73,1054.13,174564,16.7,818,18,25.78,OWN,small_business,8
2560,60,25.29,278.79,199586,24.82,815,4,3.67,MORTGAGE,small_business,16
6178,60,18.72,1092.24,171392,24.34,607,10,37.23,OWN,car,18
28230,60,14.97,205.07,42247,15.44,838,8,111.91,RENT,debt_consolidation,0
23002,60,19.15,509.3,174075,24.35,755,11,62.74,OWN,small_business,5
12383,60,6.75,1199.62,70539,32.56,715,14,10.8,OWN,small_business,2
12425,60,8.84,635.17,27045,34.91,822,10,34.64,MORTGAGE,credit_card,5
24429,36,20.97,96.23,184451,5.35,736,16,54.8,RENT,debt_consolidation,3
29179,60,22.78,984.21,159082,25.91,708,7,73.51,MORTGAGE,home_improvement,4
10306,36,23.87,201.89,113439,18.54,630,14,111.39,OWN,debt_consolidation,5
26821,36,22.22,734.05,71332,10.96,600,12,56.93,OWN,credit_card,3
25817,60,27.65,566.62,39654,27.25,610,1,20.46,MORTGAGE,credit_card,14
30334,60,16.93,119.1,156803,22.32,702,7,101.07,MORTGAGE,home_improvement,3
29927,60,24.27,585.25,53117,24.0,722,4,39.24,RENT,credit_card,1
17940,60,21.85,102.18,193413,1.67,581,3,69.57,MORTGAGE,car,18
29850,36,11.26,104.91,28203,7.81,719,13,57.39,MORTGAGE,small_business,2
9754,36,24.71,511.08,184064,5.27,797,1,43.67,OWN,credit_card,3
24752,60,18.6,1161.27,141840,24.26,840,1,97.99,RENT,debt_consolidation,17
14350,36,10.1,546.15,73948,34.43,645,8,87.53,MORTGAGE,debt_consolidation,0
14121,36,14.14,1147.85,28915,33.06,674,10,63.3,RENT,small_business,18
11983,36,27.7,683.93,172852,4.38,798,12,29.85,MORTGAGE,credit_card,9
30750,60,15.66,699.92,168873,22.81,800,8,7.68,RENT,small_business,6
6698,60,18.14,997.29,179457,13.53,803,14,5.35,OWN,credit_card,16
21878,36,16.37,291.02,132997,25.0,744,1,80.01,MORTGAGE,car,15
20873,36,16.07,197.85,186133,27.34,585,17,66.13,RENT,home_improvement,6
5033,36,21.74,98.24,62012,21.73,623,3,15.55,RENT,car,0
4359,36,23.78,1161.28,194903,5.69,769,3,111.19,RENT,car,3
10135,36,27.14,230.94,33319,11.27,642,5,28.55,MORTGAGE,small_business,17
10160,36,24.24,625.49,165168,21.72,840,5,14.31,MORTGAGE,credit_card,9
21900,36,9.1,524.62,127727,32.47,677,5,101.78,OWN,home_improvement,0
28083,60,16.53,89.48,106924,29.3,799,19,32.43,OWN,small_business,14
20539,60,9.71,373.41,186866,31.5,634,13,13.33,OWN,credit_card,3
22133,36,21.04,731.56,182211,29.92,721,16,82.31,RENT,car,6
6126,36,21.43,610.07,93916,32.16,739,12,81.51,OWN,car,15
13941,60,11.38,107.27,125242,30.35,811,13,20.94,RENT,credit_card,12
14971,60,16.07,361.6,95769,31.62,747,11,54.69,RENT,credit_card,12
16649,60,24.21,918.95,150091,22.61,643,10,94.23,MORTGAGE,small_business,3
21176,60,5.92,218.17,47841,27.28,831,9,50.4,RENT,small_business,6
21611,36,13.27,958.12,49865,20.91,614,16,35.38,MORTGAGE,home_improvement,10
31971,60,19.48,224.76,87542,24.8,597,17,13.01,MORTGAGE,car,18
11785,36,24.03,306.23,79278,21.11,671,17,40.95,RENT,car,17
18551,36,27.29,154.18,130737,34.06,630,7,59.57,RENT,credit_card,14
23447,60,25.67,116.7,172973,4.91,675,14,66.73,OWN,small_business,1
7941,36,14.33,740.52,121290,25.51,825,12,27.71,OWN,car,0
12653,36,22.08,1168.47,99386,12.63,593,18,16.61,OWN,debt_consolidation,18
19565,36,24.38,1051.88,53397,11.15,656,3,0.56,MORTGAGE,credit_card,5
27143,36,27.29,85.26,181172,25.82,782,16,49.35,OWN,debt_consolidation,14
14760,36,6.93,921.67,53314,22.69,682,7,35.53,RENT,home_improvement,4
30300,60,21.75,953.23,24509,34.23,688,7,96.16,MORTGAGE,debt_consolidation,7
2685,60,12.76,942.43,39750,14.03,594,12,89.13,RENT,debt_consolidation,8
8927,60,26.48,888.25,45230,22.12,758,5,48.46,OWN,car,2
11706,36,26.16,761.49,59587,9.43,763,6,0.5,RENT,credit_card,0
32656,60,20.62,576.73,163932,26.2,848,11,106.77,RENT,small_business,10
30866,60,27.85,253.77,163626,32.61,592,12,105.36,RENT,car,6
23886,36,24.96,320.09,48571,7.81,786,10,63.54,MORTGAGE,small_business,16
13158,36,8.66,323.39,34099,33.26,625,13,40.51,OWN,car,5
29797,36,20.07,521.32,154116,26.94,776,8,1.98,OWN,car,14
1125,36,6.21,295.51,98346,15.33,766,14,18.07,RENT,car,9
24926,60,9.07,89.52,77163,18.6,604,2,2.76,OWN,debt_consolidation,0
34110,60,21.43,828.59,198703,12.95,845,2,87.74,MORTGAGE,home_improvement,3
1698,60,6.21,173.62,67672,27.99,608,12,16.45,OWN,debt_consolidation,17
17173,36,8.81,92.13,138371,7.79,838,13,21.14,RENT,debt_consolidation,11
18030,36,14.95,728.96,54030,9.16,715,16,24.28,RENT,small_business,9
26658,36,26.31,394.39,97492,7.77,684,8,14.87,RENT,car,12
31750,60,26.06,773.42,166718,32.58,629,10,68.34,OWN,car,11
11412,36,15.65,917.71,31218,0.73,845,10,88.53,RENT,home_improvement,11
17029,36,14.33,1014.03,138802,5.91,614,7,22.3,RENT,car,12
25123,60,9.22,361.59,92372,1.41,836,8,65.2,RENT,debt_consolidation,2
31062,60,24.17,510.37,67984,22.08,833,12,28.07,RENT,small_business,1
15534,36,12.76,425.48,34559,28.54,605,10,2.72,RENT,credit_card,19
28751,60,10.55,480.19,154966,24.61,814,12,12.51,RENT,home_improvement,1
24711,60,24.04,341.96,97093,30.88,782,1,111.58,MORTGAGE,small_business,10
23418,36,26.01,373.97,24991,31.39,847,17,45.13,OWN,small_business,10
23890,36,9.82,496.23,178459,11.43,691,4,115.36,MORTGAGE,home_improvement,4
11720,36,19.57,221.59,104614,3.3,730,14,12.32,RENT,debt_consolidation,0
27665,60,8.0,402.37,26508,16.28,766,17,102.74,MORTGAGE,home_improvement,16
25322,36,17.72,727.21,140454,34.56,669,4,12.52,RENT,home_improvement,17
34187,60,11.55,470.57,110930,2.85,731,6,29.48,MORTGAGE,debt_consolidation,15
4712,36,17.61,864.16,134988,2.73,658,4,40.36,MORTGAGE,home_improvement,1
5263,36,21.96,140.52,70555,10.62,604,3,80.74,OWN,debt_consolidation,4
32128,60,15.69,972.26,22477,32.44,657,1,102.84,MORTGAGE,small_business,6
4430,36,18.46,334.87,23543,4.73,837,13,119.88,OWN,home_improvement,10
3808,36,8.98,1041.78,46012,28.59,706,9,93.4,OWN,credit_card,0
22644,60,9.03,639.87,191326,8.1,682,11,108.67,OWN,credit_card,0
15138,36,17.5,1174.74,27938,20.14,704,12,98.29,MORTGAGE,home_improvement,2
2062,36,18.0,1070.87,29495,12.55,828,17,92.45,MORTGAGE,credit_card,7
17859,36,8.16,699.06,52059,15.58,643,17,80.06,OWN,car,9
24172,36,12.36,780.2,78151,24.66,759,15,109.12,RENT,debt_consolidation,18
21131,36,19.54,100.94,163828,34.54,833,5,113.7,RENT,credit_card,13
4267,36,6.54,363.75,21083,24.91,704,2,87.74,OWN,home_improvement,2
28139,36,15.51,378.79,26575,34.3,762,18,116.23,OWN,credit_card,9
22650,60,22.02,763.54,121266,21.5,636,18,18.99,MORTGAGE,car,6
21620,60,13.23,83.65,34060,31.27,809,9,119.0,MORTGAGE,credit_card,19
16379,60,24.47,580.1,135164,13.44,678,15,97.22,MORTGAGE,small_business,4
27987,60,17.92,736.23,86473,25.84,740,11,95.19,OWN,small_business,9
8461,60,17.17,447.37,185498,0.53,583,18,100.08,MORTGAGE,car,5
26901,60,12.11,95.39,175299,11.62,810,6,54.08,MORTGAGE,home_improvement,15
15996,36,19.18,635.94,121243,34.15,725,14,8.96,RENT,home_improvement,12
1340,60,12.36,93.58,146731,20.2,590,18,49.07,MORTGAGE,debt_consolidation,9
6744,36,5.54,829.26,116940,15.84,744,1,64.34,RENT,car,2
23706,36,19.35,107.75,72016,23.03,691,10,110.29,MORTGAGE,credit_card,11
32455,36,25.5,1097.51,61284,18.69,582,3,68.41,RENT,home_improvement,14
1882,36,19.52,297.81,33339,12.49,633,11,55.87,RENT,car,8
2637,60,16.34,750.12,130559,0.96,657,2,27.07,MORTGAGE,car,10
9693,36,26.75,884.99,187796,33.29,679,14,42.93,MORTGAGE,small_business,18
16641,36,22.25,450.0,167688,17.77,764,13,4.61,MORTGAGE,car,5
15226,60,17.66,244.01,191269,21.96,745,14,118.2,MORTGAGE,debt_consolidation,7
16327,60,21.07,245.59,138090,18.18,627,7,50.94,OWN,home_improvement,1
28796,36,14.1,178.34,163185,1.56,788,10,43.22,OWN,credit_card,6
11625,60,22.14,816.61,198854,8.71,668,15,100.64,MORTGAGE,debt_consolidation,1
15043,36,27.82,849.83,100684,22.07,778,10,7.16,RENT,credit_card,7
22128,36,13.03,283.27,91713,33.35,724,6,89.7,OWN,credit_card,0
18260,60,7.88,63.63,74235,21.26,828,5,78.25,OWN,small_business,5
26183,60,17.33,993.97,27025,1.07,809,10,33.28,MORTGAGE,small_business,6
21746,36,11.93,194.96,76955,26.11,638,13,1.94,OWN,home_improvement,17
24510,36,27.68,830.67,25057,19.65,797,14,45.11,OWN,car,7
33920,60,13.46,269.32,97354,18.68,643,9,82.02,RENT,debt_consolidation,4
12929,36,13.51,92.31,126234,2.17,807,3,107.95,RENT,small_business,3
30240,36,8.74,1083.55,168028,26.21,834,13,4.84,RENT,small_business,13
23687,36,24.41,898.91,193613,4.45,796,13,78.8,OWN,home_improvement,1
1515,36,6.6,75.0,87148,27.68,588,2,8.59,MORTGAGE,home_improvement,10
17376,60,13.99,812.51,194811,18.85,654,17,116.24,RENT,home_improvement,16
24888,36,9.74,445.38,24076,21.41,816,3,101.03,RENT,home_improvement,12
3093,60,19.0,914.38,155442,3.37,822,15,90.3,OWN,small_business,2
7893,36,5.95,1038.05,110251,22.49,614,14,54.33,MORTGAGE,car,17
12580,60,27.0,602.46,107420,8.52,664,1,117.19,OWN,credit_card,15
17920,36,22.59,506.26,112688,12.48,637,4,71.98,MORTGAGE,credit_card,15
20281,36,25.39,95.08,90298,31.46,783,12,93.81,MORTGAGE,small_business,15
9003,60,25.62,508.27,132007,32.93,843,12,61.61,MORTGAGE,car,12
30345,36,14.33,511.57,32228,14.57,649,17,52.64,OWN,home_improvement,1
3443,36,10.86,150.75,127251,31.54,766,18,93.26,OWN,small_business,2
27123,60,22.31,888.94,64293,31.23,716,5,81.02,RENT,car,13
24154,60,12.37,761.11,21471,5.57,814,7,47.82,MORTGAGE,home_improvement,10
24382,60,24.75,588.55,46727,27.22,583,9,74.01,OWN,home_improvement,6
8659,60,6.05,589.28,34481,31.56,835,16,56.52,MORTGAGE,credit_card,2
33125,36,16.59,263.84,52007,13.94,781,12,71.37,RENT,car,15
11167,60,12.57,755.23,75120,4.85,695,9,60.84,OWN,small_business,0
9461,36,17.68,850.11,174558,27.91,738,19,99.91,OWN,home_improvement,19
28042,60,11.85,1065.01,31718,12.5,737,19,30.75,RENT,car,5
31268,36,22.54,382.34,193677,8.41,773,7,66.89,MORTGAGE,debt_consolidation,12
32419,36,20.34,958.83,176295,1.1,816,18,42.41,RENT,car,0
18826,36,12.57,460.73,102424,3.16,609,17,3.26,RENT,home_improvement,1
21423,60,26.06,762.33,150996,31.49,753,19,9.93,OWN,debt_consolidation,13
27950,60,10.67,982.27,197042,8.1,701,11,59.8,OWN,car,18
17544,36,20.61,844.48,108855,18.61,816,10,116.36,OWN,home_improvement,10
27854,36,19.17,1067.87,134082,5.24,834,13,37.69,RENT,home_improvement,18
27027,36,25.45,229.68,184835,33.54,707,16,86.07,MORTGAGE,home_improvement,3
15270,36,13.61,964.43,89551,20.13,792,6,115.67,OWN,home_improvement,13
13297,60,27.41,1178.19,81913,30.64,753,18,82.7,MORTGAGE,debt_consolidation,18
12763,36,20.27,753.93,140478,26.39,727,2,15.89,MORTGAGE,credit_card,2
11692,36,25.39,421.26,160931,6.22,790,16,67.43,OWN,car,8
21384,60,20.78,844.73,182310,19.54,696,13,5.61,OWN,home_improvement,18
14575,60,8.34,353.63,74478,32.44,674,12,64.84,OWN,debt_consolidation,17
10486,36,22.49,775.84,149342,17.43,591,2,7.77,RENT,home_improvement,7
31106,36,13.78,1181.13,144534,12.18,810,11,102.7,RENT,debt_consolidation,9
19061,60,27.27,798.91,128407,34.37,835,10,83.83,RENT,home_improvement,6
22959,36,12.21,240.12,45973,2.52,582,2,97.79,OWN,small_business,5
7183,36,12.66,637.71,172721,9.94,748,8,19.79,RENT,car,13
15296,60,22.03,612.12,112205,21.3,633,13,103.27,RENT,debt_consolidation,12
16916,60,15.61,76.82,132784,5.0,771,3,26.69,MORTGAGE,home_improvement,6
2129,36,23.67,828.07,21316,19.98,824,16,35.65,OWN,credit_card,4
7012,36,6.32,537.78,115204,13.45,724,12,103.71,RENT,debt_consolidation,12
24675,36,16.35,706.62,186391,25.1,768,8,59.42,RENT,home_improvement,1
34004,36,22.04,1124.27,150745,15.28,683,4,6.94,OWN,credit_card,17
13070,36,26.31,659.76,30607,15.2,785,8,0.31,MORTGAGE,credit_card,13
6724,36,8.84,114.35,57669,15.22,760,11,75.4,OWN,debt_consolidation,19
11222,36,20.59,1053.32,188560,3.39,623,14,71.03,MORTGAGE,home_improvement,19
4363,60,16.16,450.14,75535,23.53,669,2,59.14,MORTGAGE,small_business,18
8804,60,20.64,298.21,134889,2.88,793,18,3.56,MORTGAGE,home_improvement,1
19755,60,26.01,428.66,67820,9.96,739,15,51.02,OWN,home_improvement,6
28081,36,16.91,984.75,188996,24.52,674,10,60.51,RENT,small_business,13
5249,36,7.06,1107.49,172158,16.2,633,16,119.72,OWN,credit_card,12
10916,60,15.34,51.45,50382,0.42,618,14,75.41,MORTGAGE,credit_card,19
34561,60,19.96,333.01,197628,31.36,585,18,81.59,OWN,home_improvement,15
16240,36,22.93,556.33,103717,0.77,752,3,77.74,RENT,credit_card,0
32843,60,23.2,712.11,67405,13.66,657,1,67.75,OWN,credit_card,16
14046,60,18.17,861.25,160229,32.55,799,3,6.12,OWN,home_improvement,9
26425,36,9.11,1131.53,184903,33.6,772,14,97.7,OWN,small_business,13
9252,36,15.52,501.09,97313,31.33,659,9,81.89,OWN,car,15
15616,36,18.12,191.74,99707,21.61,843,13,35.97,RENT,debt_consolidation,19
2700,60,12.35,609.96,29156,16.81,712,11,98.51,OWN,car,9
27829,60,13.65,92.92,68419,27.91,596,6,72.3,OWN,car,9
29482,36,10.86,516.76,151444,25.36,603,18,108.82,OWN,credit_card,7
6237,36,14.77,236.04,117955,21.37,640,8,56.68,RENT,debt_consolidation,8
